gvkey,tic,conm
006781,L,LOEWS CORP
006335,KSU,KANSAS CITY SOUTHERN
003144,KO,COCA-COLA CO
017874,TMUS,T-MOBILE US INC
006310,KMI,KINDER MORGAN INC
064768,AMZN,AMAZON.COM INC
002403,BMY,BRISTOL-MYERS SQUIBB CO
006435,KMB,KIMBERLY-CLARK CORP
036191,CARR,CARRIER GLOBAL CORP
020748,ANET,ARISTA NETWORKS INC
014824,CINF,CINCINNATI FINANCIAL CORP
024731,KIM,KIMCO REALTY CORP
010530,TMO,THERMO FISHER SCIENTIFIC INC
005568,KHC,KRAFT HEINZ CO
009783,KEY,KEYCORP
006375,K,KELLOGG CO
063080,ANSS,ANSYS INC
002968,JPM,JPMORGAN CHASE & CO
002817,CAT,CATERPILLAR INC
121718,JNPR,JUNIPER NETWORKS INC
010407,TFX,TELEFLEX INC
006266,JNJ,JOHNSON & JOHNSON
005783,JBHT,HUNT (JB) TRANSPRT SVCS INC
145977,AAP,ADVANCE AUTO PARTS INC
029804,IVZ,INVESCO LTD
011856,TFC,TRUIST FINANCIAL CORP
005878,ITW,ILLINOIS TOOL WORKS
012441,IT,GARTNER INC
003170,CL,COLGATE-PALMOLIVE CO
011506,WMB,WILLIAMS COS INC
145046,ANTM,ANTHEM INC
136725,ISRG,INTUITIVE SURGICAL INC
010453,TER,TERADYNE INC
062374,IRM,IRON MOUNTAIN INC
030098,IR,INGERSOLL RAND INC
017928,IQV,IQVIA HOLDINGS INC
175955,IPGP,IPG PHOTONICS CORP
006136,IPG,INTERPUBLIC GROUP OF COS
014477,WM,WASTE MANAGEMENT INC
006104,IP,INTL PAPER CO
006008,INTC,INTEL CORP
001722,ADM,ARCHER-DANIELS-MIDLAND CO
029127,INCY,INCYTE CORP
138205,ILMN,ILLUMINA INC
006078,IFF,INTL FLAVORS & FRAGRANCES
015267,IEX,IDEX CORP
024197,IDXX,IDEXX LABS INC
013721,ZTS,ZOETIS INC
007977,XEL,XCEL ENERGY INC
126721,TDY,TELEDYNE TECHNOLOGIES INC
003221,AON,AON PLC
163610,ICE,INTERCONTINENTAL EXCHANGE
006066,IBM,INTL BUSINESS MACHINES CORP
028192,HWM,HOWMET AEROSPACE INC
028034,CB,CHUBB LTD
027914,HUM,HUMANA INC
003505,TAP,MOLSON COORS BEVERAGE CO
005597,HSY,HERSHEY CO
007063,HST,HOST HOTELS & RESORTS INC
009899,T,AT&T INC
009771,AOS,SMITH (A.O.)
011465,WHR,WHIRLPOOL CORP
061494,HSIC,HENRY SCHEIN INC
003231,CMA,COMERICA INC
001300,HON,HONEYWELL INTERNATIONAL INC
010115,SYK,STRYKER CORP
001678,APA,APA CORP
005643,HLT,HILTON WORLDWIDE HOLDINGS
186310,HII,HUNTINGTON INGALLS IND INC
012540,ADBE,ADOBE INC
006669,LEN,LENNAR CORP
162906,INFO,IHS MARKIT LTD
013498,CCL,CARNIVAL CORPORATION & PLC
007146,MKC,MCCORMICK & CO INC
005709,HRL,HORMEL FOODS CORP
003835,DE,DEERE & CO
026156,HPE,HEWLETT PACKARD ENTERPRISE
003504,COO,COOPER COS INC (THE)
001632,ADI,ANALOG DEVICES
005606,HPQ,HP INC
001704,AMAT,APPLIED MATERIALS INC
126554,A,AGILENT TECHNOLOGIES INC
024975,SNPS,SYNOPSYS INC
020232,KEYS,KEYSIGHT TECHNOLOGIES INC
180711,AVGO,BROADCOM INC
010793,TSN,TYSON FOODS INC  -CL A
031673,ABC,AMERISOURCEBERGEN CORP
003980,DIS,DISNEY (WALT) CO
009203,ROK,ROCKWELL AUTOMATION
004321,EMR,EMERSON ELECTRIC CO
179534,V,VISA INC
006216,J,JACOBS ENGINEERING GROUP INC
008898,RJF,RAYMOND JAMES FINANCIAL CORP
001209,APD,AIR PRODUCTS & CHEMICALS INC
024800,QCOM,QUALCOMM INC
001327,SWKS,SKYWORKS SOLUTIONS INC
004383,ATO,ATMOS ENERGY CORP
006268,JCI,JOHNSON CONTROLS INTL PLC
025340,DHI,D R HORTON INC
018699,PTC,PTC INC
020904,HOLX,HOLOGIC INC
004885,BEN,FRANKLIN RESOURCES INC
177267,TEL,TE CONNECTIVITY LTD
029830,WRK,WESTROCK CO
002111,BDX,BECTON DICKINSON & CO
121077,FFIV,F5 INC
001690,AAPL,APPLE INC
025434,SBUX,STARBUCKS CORP
148349,TDG,TRANSDIGM GROUP INC
023809,AZO,AUTOZONE INC
011264,WBA,WALGREENS BOOTS ALLIANCE INC
007343,MU,MICRON TECHNOLOGY INC
029028,COST,COSTCO WHOLESALE CORP
143357,ACN,ACCENTURE PLC
020779,CSCO,CISCO SYSTEMS INC
027928,INTU,INTUIT INC
002663,CPB,CAMPBELL SOUP CO
029901,CPRT,COPART INC
100243,AMCR,AMCOR PLC
003121,CLX,CLOROX CO/DE
150937,STX,SEAGATE TECHNOLOGY HOLDINGS
008762,PG,PROCTER & GAMBLE CO
015414,TECH,BIO-TECHNE CORP
034636,FOXA,FOX CORP
011399,WDC,WESTERN DIGITAL CORP
176928,BR,BROADRIDGE FINANCIAL SOLUTNS
006304,KLAC,KLA CORP
010247,SYY,SYSCO CORP
011811,JKHY,HENRY (JACK) & ASSOCIATES
140541,TPR,TAPESTRY INC
031887,RMD,RESMED INC
008358,PH,PARKER-HANNIFIN CORP
018043,NWSA,NEWS CORP
002751,CAH,CARDINAL HEALTH INC
